603590 康辰药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018/08/27	35.05	35.05	35.05	35.05	51310	1798416.00
2018/08/28	38.56	38.56	38.56	38.56	26800	1033408.00
2018/08/29	42.42	42.42	42.42	42.42	29356	1245282.00
2018/08/30	46.66	46.66	46.66	46.66	86756	4048035.00
2018/08/31	51.33	51.33	51.33	51.33	411041	21098736.00
2018/09/03	56.46	56.46	53.70	54.83	23743902	1307325440.00
2018/09/04	54.65	55.65	53.34	54.40	16061184	875512768.00
2018/09/05	54.70	55.49	52.12	54.85	17309114	939451648.00
2018/09/06	53.60	54.51	52.31	54.11	12435674	664737728.00
2018/09/07	54.10	54.45	51.00	51.74	11668570	617461376.00
2018/09/10	50.92	52.42	50.14	51.26	7522761	387250752.00
2018/09/11	51.60	52.16	49.50	50.18	9231109	470216352.00
2018/09/12	49.70	50.40	48.50	49.16	8318463	410526048.00
2018/09/13	49.66	50.14	47.55	49.25	9219827	450759456.00
2018/09/14	48.90	48.90	44.66	45.00	10698755	498704928.00
2018/09/17	44.01	44.18	43.20	43.95	6020239	263571984.00
2018/09/18	43.75	45.00	43.53	44.89	6653933	295587232.00
2018/09/19	44.25	44.93	43.50	44.21	6368097	281585056.00
2018/09/20	44.00	44.37	42.35	42.52	7323849	316403904.00
2018/09/21	42.67	43.19	42.30	43.01	5171725	221567680.00
2018/09/25	42.99	43.47	42.70	43.28	3973394	171257968.00
2018/09/26	43.35	43.35	42.53	43.28	4835112	207575280.00
2018/09/27	43.04	44.58	42.82	42.90	8035653	351302496.00
2018/09/28	42.80	43.58	42.60	42.96	4907580	211507600.00
2018/10/08	41.00	41.28	38.66	38.91	6133483	244948992.00
2018/10/09	39.10	39.60	38.55	39.14	3699351	144474624.00
2018/10/10	39.30	39.73	39.08	39.37	3685485	145243328.00
2018/10/11	37.00	37.30	35.43	35.43	5703813	206023040.00
2018/10/12	34.88	35.63	33.24	34.90	4618331	160152208.00
2018/10/15	35.18	35.80	34.34	34.51	3367672	118390328.00
2018/10/16	34.40	35.75	33.58	35.02	4551120	158272176.00
2018/10/17	35.62	35.72	34.30	35.23	3901448	137153040.00
2018/10/18	34.90	35.10	33.66	33.74	3378994	115664640.00
2018/10/19	32.88	34.79	32.59	34.54	3942488	133902688.00
2018/10/22	34.61	36.79	34.61	36.45	6503449	233881504.00
2018/10/23	36.00	36.45	34.85	34.85	4700252	167739280.00
2018/10/24	34.60	35.00	33.85	34.26	3404568	117158888.00
2018/10/25	32.56	33.50	32.38	33.23	3753416	123553280.00
2018/10/26	33.71	34.65	33.54	33.93	3792516	129188160.00
2018/10/29	33.80	34.95	33.71	34.04	3515726	120820720.00
2018/10/30	33.80	34.48	32.64	34.41	4008657	135059104.00
2018/10/31	34.52	35.98	34.51	35.49	5398639	190640432.00
2018/11/01	36.00	36.18	35.10	35.18	4822660	171390512.00
2018/11/02	35.69	36.14	35.36	36.04	5170328	185291120.00
2018/11/05	36.95	37.29	35.19	35.62	5796628	210126704.00
2018/11/06	35.24	35.44	33.68	34.55	4387628	151067424.00
2018/11/07	34.63	35.19	34.40	34.60	2960225	103060280.00
2018/11/08	35.50	36.55	35.32	35.35	5812264	208807216.00
2018/11/09	35.12	35.18	34.46	34.89	2744298	95651072.00
2018/11/12	34.89	35.89	34.62	35.84	3403607	120320424.00
2018/11/13	35.19	36.06	35.02	35.80	3818307	135802000.00
2018/11/14	35.62	36.98	35.62	36.21	4427920	161402912.00
2018/11/15	36.32	38.57	36.30	38.07	6711590	252054544.00
2018/11/16	38.00	38.68	37.60	37.92	5077465	193160272.00
2018/11/19	37.88	38.90	37.75	38.28	3635564	139561312.00
2018/11/20	37.85	38.00	36.66	36.82	3538079	132146104.00
