300634 彩讯股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018/03/23	9.46	10.32	9.46	10.32	23447	241543.05
2018/03/26	11.35	11.35	11.35	11.35	10589	120185.15
2018/03/27	12.49	12.49	12.49	12.49	5445	68008.05
2018/03/28	13.74	13.74	13.74	13.74	20274	278564.75
2018/03/29	15.11	15.11	15.11	15.11	17489	264258.78
2018/03/30	16.62	16.62	16.62	16.62	42889	712815.19
2018/04/02	18.28	18.28	18.28	18.28	53015	969114.19
2018/04/03	20.11	20.11	20.11	20.11	104078	2093008.63
2018/04/04	22.12	22.12	22.12	22.12	63305	1400306.63
2018/04/09	24.33	24.33	24.33	24.33	100724	2450615.00
2018/04/10	26.76	26.76	26.76	26.76	104625	2799765.00
2018/04/11	29.44	29.44	29.44	29.44	151708	4466283.50
2018/04/12	32.38	32.38	32.38	32.38	239073	7741183.50
2018/04/13	35.62	35.62	35.62	35.62	222492	7925165.00
2018/04/16	39.18	39.18	39.18	39.18	856101	33542038.00
2018/04/17	43.10	43.10	43.10	43.10	563841	24301548.00
2018/04/18	47.41	47.41	47.41	47.41	11838187	561248448.00
2018/04/19	50.50	52.15	50.50	52.15	15706994	812767488.00
2018/04/20	50.90	57.37	50.12	54.00	28605952	1527251584.00
2018/04/23	55.00	59.40	55.00	59.40	24959416	1456739968.00
2018/04/24	62.00	63.60	56.43	59.51	25838140	1551220608.00
2018/04/25	58.88	65.46	58.88	65.46	22946844	1435104128.00
2018/04/26	66.00	66.00	58.91	58.91	17417590	1050698944.00
2018/04/27	56.01	57.40	53.02	53.02	16189701	884327296.00
2018/05/02	52.20	55.30	50.56	53.71	15209774	805580800.00
2018/05/03	51.80	55.77	51.30	54.48	15314151	826589760.00
2018/05/04	53.78	54.48	49.03	49.09	16743715	846276544.00
2018/05/07	50.00	51.90	49.58	50.44	13555682	685177792.00
2018/05/08	49.21	51.80	48.61	51.64	15094559	764391168.00
2018/05/09	51.15	53.66	51.02	52.29	16471287	862052800.00
2018/05/10	51.90	54.42	50.01	54.28	18293724	955935616.00
2018/05/11	53.30	59.47	53.18	56.01	20676784	1156780032.00
2018/05/14	56.00	60.96	54.86	58.73	19229652	1120388096.00
2018/05/15	58.72	60.30	56.08	59.95	17799906	1038489728.00
2018/05/16	58.00	59.17	54.60	55.22	13727794	780132416.00
2018/05/17	56.00	60.74	55.77	60.74	11044258	652938944.00
2018/05/18	64.00	66.50	58.06	58.29	21889204	1364812928.00
2018/05/21	57.01	60.66	56.00	59.43	16257026	952752960.00
2018/05/22	60.19	62.96	60.16	61.30	17839394	1093763968.00
2018/05/23	60.20	67.43	59.45	64.98	24514880	1578595712.00
2018/05/24	62.03	62.50	58.60	60.80	15934761	966835072.00
2018/05/25	60.89	60.89	56.00	56.24	13080734	758768000.00
2018/05/28	56.00	56.00	50.62	51.05	12224481	645574720.00
2018/05/29	51.55	52.97	51.00	51.32	8926512	463619904.00
2018/05/30	49.00	50.83	46.19	46.50	10190029	490441088.00
2018/05/31	47.45	47.94	46.12	47.77	8130985	384537760.00
2018/06/01	47.70	47.70	43.28	44.80	8815643	400715296.00
2018/06/04	45.44	46.50	43.68	45.15	6449871	291392128.00
2018/06/05	45.20	47.45	44.98	47.38	8175085	379176416.00
2018/06/06	47.00	47.99	46.40	47.37	7346022	346195712.00
2018/06/07	47.65	47.80	46.25	46.90	6646766	313352768.00
2018/06/08	47.02	48.98	46.68	48.31	10018969	482919808.00
2018/06/11	47.80	47.80	43.90	44.30	9249668	422147296.00
2018/06/12	44.75	44.98	41.06	44.02	8350118	359679104.00
2018/06/13	43.25	44.44	41.51	41.59	6036623	258209136.00
2018/06/14	41.13	42.99	41.13	41.60	4508710	189465072.00
2018/06/15	42.23	42.26	39.72	40.02	4819253	195839680.00
2018/06/19	38.63	39.32	36.02	36.02	5225922	194817744.00
2018/06/20	35.65	37.79	35.31	37.28	5929573	217620544.00
2018/06/21	36.97	37.50	34.06	35.69	6532252	233631744.00
2018/06/22	35.10	39.26	35.01	39.26	5049629	190924720.00
2018/06/25	40.50	40.98	38.41	38.84	9616862	383072544.00
2018/06/26	37.82	41.85	37.82	40.70	9680946	389587392.00
2018/06/27	40.69	41.69	40.00	41.14	9076943	369892416.00
2018/06/28	40.89	41.54	39.28	39.28	7194119	292481568.00
2018/06/29	40.40	42.20	40.05	40.87	7864066	322170304.00
2018/07/02	41.75	43.61	41.31	41.99	10430311	440899040.00
2018/07/03	41.95	44.94	40.80	43.69	10660850	454859424.00
2018/07/04	42.74	42.74	39.32	39.60	8673932	356313184.00
2018/07/05	38.20	40.55	38.20	38.40	5428678	212950624.00
2018/07/06	38.89	41.85	38.68	40.11	7535056	302306976.00
2018/07/09	40.16	42.35	40.16	42.19	7187982	297411648.00
2018/07/10	43.67	46.41	42.24	46.41	9465569	415440992.00
2018/07/11	44.50	46.38	42.58	45.27	12430252	554101248.00
